property_id,locality,area_sqft,bedrooms,bathrooms,house_age,parking_spaces,furnishing,price_inr,data_kind,observed_on,area_basis,property_type,price_basis,source_url
demo-00030,Kovur,557.0,1,1,1,2,Furnished,4361154.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00031,Egmore,1589.0,3,2,0,0,Unfurnished,31931509.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00032,Anna Nagar,497.0,1,1,7,2,Furnished,8371183.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00033,Kundrathur,861.0,2,1,8,0,Furnished,5107574.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00034,Thoraipakkam,1573.0,3,2,25,1,Furnished,15559875.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00035,Anna Nagar,1768.0,3,4,18,2,Furnished,27336262.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00036,Thiruporur,1988.0,4,5,35,1,Furnished,7065674.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00037,Thiruporur,2064.0,4,5,19,2,Unfurnished,7735728.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00038,Karapakkam,2296.0,5,5,32,2,Unfurnished,19113263.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00039,Navalur,539.0,1,1,19,2,Unfurnished,4141477.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00040,Chromepet,1199.0,2,3,12,1,Unfurnished,7371141.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00041,Ramapuram,390.0,1,1,25,2,Unfurnished,3369784.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00042,Porur,401.0,1,1,16,1,Semi-Furnished,2626196.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00043,Kodambakkam,970.0,2,3,9,2,Unfurnished,13571723.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00044,Anna Nagar,1411.0,3,3,17,2,Unfurnished,25591145.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00045,Velachery,2464.0,5,4,23,0,Semi-Furnished,22443979.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00046,Kovur,1449.0,4,4,13,1,Furnished,9579748.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00047,Thoraipakkam,1804.0,4,5,25,2,Unfurnished,17438803.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00048,Porur,1983.0,4,3,35,0,Semi-Furnished,10968361.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00049,Teynampet,496.0,1,1,14,2,Semi-Furnished,16362532.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00050,Ramapuram,2572.0,5,4,10,0,Furnished,30193173.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00051,Egmore,2650.0,5,4,14,2,Unfurnished,43260007.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00052,Kodambakkam,510.0,1,2,30,2,Furnished,6077327.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00053,Kovur,1643.0,3,3,6,0,Unfurnished,10394779.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00054,Koyambedu,2531.0,5,4,35,2,Unfurnished,32089490.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00055,Adyar,1453.0,3,3,14,0,Unfurnished,24121165.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00056,Kundrathur,2508.0,5,4,30,1,Furnished,12830521.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00057,Chromepet,1876.0,5,6,28,2,Unfurnished,11023444.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00058,Ramapuram,1255.0,3,4,28,0,Furnished,11513390.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00059,Porur,482.0,1,1,32,0,Furnished,3352016.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00060,Thoraipakkam,1136.0,2,1,6,1,Furnished,13167044.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00061,Ramapuram,1040.0,2,3,21,1,Unfurnished,8643999.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00062,Kodambakkam,1118.0,3,4,3,0,Unfurnished,15440361.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00063,Velachery,1494.0,3,4,10,1,Unfurnished,14424532.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00064,Kodambakkam,1216.0,3,4,1,0,Furnished,17797454.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00065,Kilpauk,534.0,1,2,24,0,Unfurnished,7262131.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00066,Thoraipakkam,1114.0,2,2,21,0,Semi-Furnished,11003092.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00067,Kodambakkam,1993.0,4,5,26,0,Semi-Furnished,27662803.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00068,Anna Nagar,498.0,1,2,6,2,Furnished,7338533.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00069,Kovur,869.0,2,1,11,2,Semi-Furnished,5779994.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00070,Teynampet,2308.0,5,4,24,1,Semi-Furnished,64138998.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00071,Egmore,566.0,1,1,29,2,Furnished,10257996.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00072,Kovur,1592.0,3,4,31,1,Furnished,10391710.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00073,Chromepet,960.0,2,3,2,2,Semi-Furnished,9211393.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00074,Porur,442.0,1,1,14,0,Semi-Furnished,3555810.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00075,Koyambedu,1088.0,3,3,0,0,Semi-Furnished,17026314.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00076,Kilpauk,1157.0,3,4,29,2,Furnished,15995573.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00077,Egmore,398.0,1,1,4,0,Semi-Furnished,6608234.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00078,Kundrathur,443.0,1,2,29,2,Semi-Furnished,2110863.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00079,Porur,586.0,1,1,5,1,Furnished,5361856.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00080,Thoraipakkam,1905.0,4,3,0,1,Furnished,23427176.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00081,Kovur,2044.0,5,4,31,1,Semi-Furnished,12789518.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00082,Chromepet,376.0,1,2,15,2,Unfurnished,2184238.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00083,Thiruporur,869.0,2,3,15,0,Unfurnished,3253111.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00084,Navalur,1108.0,2,1,23,2,Semi-Furnished,7860588.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00085,Porur,892.0,2,2,9,2,Furnished,8093679.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00086,Anna Nagar,1086.0,2,1,24,2,Furnished,18346264.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00087,Kilpauk,551.0,1,2,15,2,Furnished,7671936.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00088,Teynampet,1133.0,3,4,9,2,Unfurnished,35162646.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00089,Thiruporur,1004.0,2,3,14,1,Semi-Furnished,3811476.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00090,Kovur,1180.0,2,2,0,1,Furnished,9580874.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00091,Teynampet,901.0,2,1,10,1,Furnished,25579858.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00092,Thiruporur,1814.0,5,4,21,2,Unfurnished,8685935.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00093,Kodambakkam,2323.0,4,5,4,1,Furnished,31566699.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00094,Thoraipakkam,1713.0,3,3,4,1,Unfurnished,18727497.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00095,Karapakkam,961.0,2,1,23,0,Unfurnished,8629084.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00096,Karapakkam,2440.0,5,6,15,0,Furnished,20296440.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00097,Porur,2015.0,5,4,4,0,Furnished,16466673.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00098,Navalur,555.0,1,2,26,1,Furnished,3877703.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00099,Chromepet,2373.0,5,4,27,1,Semi-Furnished,12276136.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00100,Thiruporur,1434.0,4,4,1,2,Semi-Furnished,6239637.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00101,Egmore,521.0,1,1,7,1,Semi-Furnished,11339079.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00102,Teynampet,2350.0,4,5,13,0,Semi-Furnished,58769002.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00103,Adyar,557.0,1,1,26,1,Semi-Furnished,9807952.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00104,Teynampet,419.0,1,1,2,0,Unfurnished,12428892.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00105,Teynampet,363.0,1,1,29,2,Furnished,7854220.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00106,Teynampet,1755.0,3,4,11,2,Semi-Furnished,53355213.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00107,Porur,2337.0,4,3,4,0,Semi-Furnished,15491664.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00108,Koyambedu,1449.0,3,2,31,0,Furnished,17706337.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00109,Porur,511.0,1,1,3,0,Semi-Furnished,3837688.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00110,Karapakkam,466.0,1,2,4,1,Semi-Furnished,4616239.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00111,Teynampet,2275.0,5,6,34,0,Unfurnished,43760626.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00112,Kundrathur,1899.0,5,5,18,2,Unfurnished,10088345.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00113,Kovur,1497.0,4,3,16,0,Semi-Furnished,10938200.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00114,Koyambedu,408.0,1,2,24,1,Semi-Furnished,4271664.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00115,Kundrathur,2796.0,5,6,22,1,Furnished,13700081.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00116,Adyar,1546.0,4,5,22,0,Furnished,28064970.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00117,Chromepet,1220.0,3,4,0,2,Furnished,9147670.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00118,Karapakkam,487.0,1,1,19,0,Semi-Furnished,3105354.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00119,Anna Nagar,2019.0,5,6,10,2,Unfurnished,41274107.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00120,Kovur,1172.0,3,3,29,2,Furnished,7970269.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00121,Porur,491.0,1,1,18,1,Furnished,4093822.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00122,Porur,884.0,2,1,4,2,Semi-Furnished,7165174.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00123,Koyambedu,1520.0,3,3,31,1,Furnished,13693364.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00124,Thiruporur,578.0,1,2,10,0,Furnished,2726860.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00125,Kundrathur,775.0,2,2,9,0,Semi-Furnished,3966075.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00126,Anna Nagar,1735.0,3,4,33,2,Unfurnished,24936902.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00127,Teynampet,2878.0,5,6,27,1,Unfurnished,68078556.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00128,Kundrathur,557.0,1,1,30,2,Furnished,2932627.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00129,Navalur,1523.0,3,4,23,0,Semi-Furnished,9646728.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00130,Kundrathur,2525.0,5,6,32,2,Unfurnished,13393309.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00131,Kundrathur,2549.0,5,5,4,2,Unfurnished,12595700.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00132,Anna Nagar,2613.0,5,5,21,0,Furnished,52198471.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00133,Kundrathur,354.0,1,1,10,1,Unfurnished,2571832.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00134,Teynampet,2948.0,5,6,14,2,Unfurnished,98927645.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00135,Kilpauk,2482.0,5,6,8,0,Semi-Furnished,45480236.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00136,Navalur,1091.0,2,1,7,0,Semi-Furnished,8455268.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00137,Adyar,1333.0,3,2,15,0,Furnished,27877881.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00138,Kilpauk,1059.0,3,2,33,1,Furnished,14371154.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00139,Kovur,1432.0,3,3,22,0,Semi-Furnished,7267478.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00140,Velachery,954.0,2,3,12,1,Unfurnished,11108903.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00141,Egmore,2296.0,5,5,15,2,Furnished,49929602.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00142,Karapakkam,2175.0,5,4,19,0,Semi-Furnished,18954033.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00143,Kodambakkam,825.0,2,3,8,0,Furnished,9640251.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00144,Velachery,2409.0,5,5,18,1,Semi-Furnished,21019025.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00145,Thiruporur,888.0,2,2,25,0,Unfurnished,2567893.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00146,Adyar,2370.0,4,5,8,0,Furnished,50577203.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00147,Egmore,1180.0,3,2,21,0,Unfurnished,15670542.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00148,Teynampet,1290.0,3,3,25,0,Furnished,34464887.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00149,Adyar,423.0,1,1,18,2,Furnished,6914960.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00150,Thiruporur,1943.0,4,4,10,0,Unfurnished,6569120.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00151,Karapakkam,950.0,2,2,19,1,Furnished,9040866.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00152,Thoraipakkam,1022.0,2,2,28,2,Unfurnished,8997031.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00153,Karapakkam,588.0,1,2,7,1,Semi-Furnished,6353453.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00154,Kovur,2107.0,5,4,20,1,Semi-Furnished,11458949.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00155,Porur,523.0,1,2,24,1,Semi-Furnished,3341989.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00156,Chromepet,1425.0,4,5,11,2,Semi-Furnished,6580274.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00157,Kundrathur,2078.0,5,5,13,0,Semi-Furnished,8377792.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00158,Koyambedu,466.0,1,1,31,0,Semi-Furnished,6401884.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00159,Teynampet,1073.0,3,2,13,2,Furnished,40826731.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00160,Velachery,1513.0,3,3,21,0,Unfurnished,13525424.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
