area_sqft,bedrooms,bathrooms,house_age,floors,parking_spaces,location,furnishing,price
1359,3,2,34,3,2,Rural,Semi-Furnished,7823594.0
900,2,3,13,2,1,Suburban,Furnished,7775012.0
2038,1,1,31,3,0,Suburban,Unfurnished,12153717.0
2839,2,1,29,3,2,Suburban,Semi-Furnished,17762328.0
2790,3,2,37,2,3,Rural,Furnished,16989214.0
2148,5,5,49,3,1,Urban,Unfurnished,17037580.0
3492,5,4,0,1,0,Rural,Furnished,20954240.0
2478,1,1,49,1,0,Suburban,Furnished,14732436.0
777,4,4,5,2,0,Rural,Unfurnished,6806933.0
3177,1,2,26,2,3,Urban,Unfurnished,20642446.0
2511,4,3,17,1,1,Suburban,Unfurnished,15635802.0
2721,2,2,31,1,1,Suburban,Semi-Furnished,16367670.0
2478,3,4,36,1,0,Rural,Unfurnished,14370990.0
2437,4,5,42,3,1,Rural,Furnished,16521426.0
816,3,4,20,3,3,Suburban,Semi-Furnished,7533522.0
2457,5,4,46,3,1,Suburban,Furnished,16997927.0
3282,3,4,16,2,2,Urban,Semi-Furnished,21746735.0
1563,5,5,10,2,0,Rural,Furnished,12641447.0
2609,4,3,18,3,0,Urban,Furnished,19670852.0
607,2,2,26,2,2,Suburban,Semi-Furnished,6847419.0
1716,4,4,33,1,0,Suburban,Unfurnished,11573679.0
2028,3,3,41,2,1,Urban,Semi-Furnished,15239659.0
3939,3,2,11,3,1,Urban,Semi-Furnished,26410431.0
1251,1,2,15,2,0,Urban,Semi-Furnished,8989927.0
1467,1,2,46,3,2,Rural,Semi-Furnished,8727041.0
1929,3,3,21,3,3,Suburban,Furnished,15116758.0
3974,1,2,12,1,0,Urban,Semi-Furnished,24043692.0
3486,5,5,49,3,3,Suburban,Unfurnished,21464658.0
621,5,5,22,2,2,Urban,Furnished,10569269.0
1318,4,4,49,2,2,Rural,Semi-Furnished,8198944.0
3375,4,4,45,1,0,Urban,Unfurnished,21330154.0
704,3,2,45,2,3,Urban,Semi-Furnished,7677713.0
3494,1,1,29,1,0,Urban,Furnished,21684677.0
1484,2,1,39,1,3,Suburban,Semi-Furnished,9353158.0
3711,3,2,48,3,2,Suburban,Unfurnished,21117991.0
1527,5,4,13,1,1,Suburban,Furnished,13004641.0
2020,2,3,1,2,0,Suburban,Semi-Furnished,14733473.0
2816,3,2,16,1,2,Urban,Unfurnished,20604415.0
941,2,3,31,1,0,Urban,Furnished,7782963.0
2449,1,2,27,2,2,Urban,Semi-Furnished,16610539.0
2267,1,1,4,3,3,Rural,Unfurnished,12787825.0
3243,2,2,28,3,1,Urban,Semi-Furnished,21556768.0
3986,1,1,8,2,0,Rural,Semi-Furnished,21150219.0
2825,1,1,25,2,0,Urban,Furnished,17552746.0
1932,2,3,28,3,0,Urban,Unfurnished,13393910.0
1922,2,2,31,1,0,Urban,Semi-Furnished,13236061.0
1962,3,3,20,3,0,Urban,Unfurnished,14868638.0
3349,1,1,20,1,2,Suburban,Semi-Furnished,19873391.0
1624,2,3,33,1,1,Suburban,Semi-Furnished,10885763.0
1084,3,3,37,2,3,Urban,Semi-Furnished,9330876.0
1670,5,5,40,1,3,Suburban,Unfurnished,13333450.0
579,4,5,16,3,3,Suburban,Unfurnished,7913729.0
871,5,5,21,3,2,Rural,Furnished,9737414.0
815,2,3,16,2,1,Rural,Unfurnished,5462583.0
3200,3,4,26,3,3,Suburban,Unfurnished,19408408.0
3028,3,3,6,3,0,Rural,Furnished,18801782.0
2938,5,5,21,3,1,Suburban,Furnished,21559767.0
2116,5,4,9,3,1,Suburban,Unfurnished,15960859.0
3009,5,4,26,2,2,Suburban,Unfurnished,19797031.0
1064,4,4,42,1,2,Urban,Semi-Furnished,9673557.0
3652,3,4,49,3,3,Suburban,Semi-Furnished,23605837.0
2253,3,3,22,2,3,Rural,Unfurnished,13344878.0
3783,5,5,2,3,1,Urban,Furnished,26503824.0
1033,2,2,11,3,3,Rural,Furnished,8635624.0
2240,2,1,5,1,0,Rural,Unfurnished,11453786.0
2937,5,5,37,2,3,Urban,Furnished,22539613.0
2234,2,2,49,1,0,Suburban,Semi-Furnished,13418735.0
2061,2,2,27,1,3,Rural,Semi-Furnished,12941662.0
1081,3,3,8,3,1,Rural,Semi-Furnished,8891882.0
1833,2,1,1,3,3,Urban,Furnished,14833814.0
1335,5,5,48,3,0,Urban,Unfurnished,11057796.0
1555,5,5,15,3,1,Suburban,Unfurnished,12922947.0
2892,2,1,5,2,3,Urban,Furnished,19450735.0
2705,3,3,8,2,0,Urban,Semi-Furnished,19386309.0
2625,5,5,12,3,1,Urban,Furnished,21204746.0
1766,4,3,32,2,0,Urban,Furnished,15106966.0
3858,2,1,44,2,1,Suburban,Unfurnished,21661837.0
806,3,2,13,1,1,Suburban,Semi-Furnished,8083403.0
1699,4,4,34,3,2,Suburban,Semi-Furnished,12716799.0
913,4,5,3,3,1,Suburban,Unfurnished,9367806.0
1686,1,2,0,3,0,Urban,Unfurnished,13138770.0
3866,2,2,2,2,0,Urban,Unfurnished,24022669.0
1781,5,5,46,1,3,Urban,Unfurnished,14679630.0
3680,2,1,29,1,3,Urban,Semi-Furnished,22118165.0
2232,2,3,40,2,0,Urban,Semi-Furnished,14449261.0
2948,2,2,1,3,0,Urban,Furnished,20829387.0
2100,1,2,1,3,0,Urban,Unfurnished,15545683.0
1430,1,2,42,3,3,Urban,Furnished,10626041.0
3174,2,2,5,2,2,Suburban,Unfurnished,20199230.0
3892,5,4,7,3,3,Suburban,Unfurnished,25220485.0
1422,1,1,25,3,1,Rural,Furnished,8640954.0
3225,2,3,30,1,2,Suburban,Unfurnished,20231861.0
1413,1,2,11,3,0,Suburban,Unfurnished,10267841.0
3009,3,4,22,1,2,Urban,Semi-Furnished,21253910.0
3261,2,1,33,2,2,Suburban,Semi-Furnished,20538353.0
2072,4,4,22,3,1,Urban,Unfurnished,15571684.0
3079,3,2,19,2,2,Urban,Semi-Furnished,20055688.0
1452,4,5,3,3,2,Urban,Furnished,14169914.0
777,4,5,22,1,1,Urban,Furnished,9742249.0
837,3,2,40,2,0,Urban,Unfurnished,5964215.0
2064,5,5,31,3,0,Suburban,Semi-Furnished,15042600.0
3659,3,4,44,2,3,Rural,Furnished,21175600.0
946,5,5,6,3,1,Suburban,Unfurnished,10717832.0
2095,5,5,0,2,1,Suburban,Furnished,17070694.0
2964,3,2,27,3,2,Suburban,Furnished,18677312.0
1208,4,5,8,2,1,Urban,Semi-Furnished,12894573.0
3025,2,3,29,3,1,Suburban,Furnished,19531284.0
1570,5,5,45,1,2,Suburban,Semi-Furnished,11671018.0
3330,4,5,16,1,2,Urban,Unfurnished,22630883.0
2527,5,4,27,1,2,Urban,Unfurnished,16957646.0
2414,2,2,34,3,0,Rural,Unfurnished,12539338.0
1118,4,3,7,1,1,Suburban,Furnished,9798871.0
2121,3,4,44,1,1,Suburban,Furnished,14191116.0
3498,1,2,10,3,2,Suburban,Unfurnished,20357832.0
568,1,2,40,2,0,Urban,Semi-Furnished,5354184.0
3154,3,3,32,1,0,Suburban,Unfurnished,17903069.0
2224,2,1,7,1,3,Urban,Furnished,16529580.0
3018,1,1,36,1,2,Urban,Unfurnished,18551600.0
2821,3,3,9,3,3,Suburban,Semi-Furnished,19435856.0
2012,4,5,29,2,1,Urban,Unfurnished,15636053.0
1580,2,1,47,3,3,Suburban,Furnished,9642249.0
2695,5,5,47,1,1,Urban,Semi-Furnished,18635032.0
990,4,3,43,2,2,Suburban,Unfurnished,7857885.0
2544,3,3,24,1,0,Suburban,Semi-Furnished,15886493.0
831,5,4,27,2,3,Suburban,Semi-Furnished,9148687.0
2774,3,3,15,2,1,Suburban,Furnished,19427679.0
2700,1,1,46,3,3,Rural,Unfurnished,14898467.0
795,1,1,23,2,1,Suburban,Furnished,5767738.0
3151,5,5,38,3,3,Suburban,Semi-Furnished,21730082.0
1955,5,5,17,2,1,Suburban,Unfurnished,15299212.0
3254,4,5,37,1,0,Urban,Semi-Furnished,21141553.0
645,1,1,11,3,0,Urban,Semi-Furnished,7603206.0
1128,2,3,36,2,2,Urban,Furnished,10143336.0
2228,1,2,2,1,0,Urban,Semi-Furnished,14508633.0
1158,1,2,5,3,1,Urban,Unfurnished,10425242.0
1654,2,2,17,3,2,Urban,Furnished,13687673.0
2812,3,4,24,1,1,Suburban,Semi-Furnished,17923026.0
1005,1,1,35,3,0,Urban,Semi-Furnished,8014783.0
2871,5,4,17,3,2,Rural,Furnished,18660840.0
861,3,2,0,3,2,Urban,Unfurnished,10184291.0
1113,2,3,16,1,2,Suburban,Semi-Furnished,9017185.0
2556,3,2,21,2,3,Urban,Furnished,18642714.0
3277,4,4,27,2,0,Suburban,Semi-Furnished,21005399.0
1097,2,3,32,2,1,Urban,Unfurnished,8556190.0
1549,1,1,12,2,0,Suburban,Unfurnished,9268802.0
3737,1,1,30,2,3,Urban,Semi-Furnished,21355439.0
3963,5,4,31,2,2,Rural,Semi-Furnished,24217920.0
2533,1,1,38,3,0,Urban,Unfurnished,14733053.0
2064,4,3,26,2,2,Suburban,Furnished,15065599.0
1714,2,3,40,1,0,Urban,Furnished,12802492.0
2643,4,3,11,1,1,Suburban,Semi-Furnished,18180247.0
2568,1,2,35,3,2,Suburban,Semi-Furnished,14765788.0
1531,5,5,2,3,2,Urban,Semi-Furnished,15125587.0
579,4,5,5,2,3,Urban,Furnished,11274996.0
1030,3,4,43,1,2,Urban,Unfurnished,10571020.0
3854,2,1,23,3,3,Urban,Semi-Furnished,25026926.0
1963,5,5,31,1,2,Rural,Unfurnished,13478845.0
2188,2,2,30,2,0,Urban,Unfurnished,13884026.0
2134,3,4,34,1,0,Urban,Unfurnished,15489835.0
3239,2,3,12,1,3,Rural,Semi-Furnished,19152185.0
727,2,2,8,3,0,Urban,Semi-Furnished,8632770.0
789,3,3,2,2,1,Urban,Furnished,9419810.0
1465,1,1,43,1,0,Suburban,Semi-Furnished,8371947.0
2203,1,1,11,2,1,Rural,Unfurnished,12465503.0
2848,2,2,28,1,2,Suburban,Semi-Furnished,17521995.0
2217,1,2,22,2,0,Suburban,Furnished,14314006.0
2044,3,3,8,2,1,Rural,Furnished,13273364.0
3782,5,5,20,2,3,Urban,Semi-Furnished,25346101.0
1063,1,1,4,3,0,Rural,Semi-Furnished,8064950.0
2501,1,1,8,1,0,Rural,Unfurnished,15347678.0
2397,1,1,6,1,1,Rural,Unfurnished,13667594.0
2157,3,4,41,2,3,Urban,Semi-Furnished,15074606.0
3326,2,3,28,3,1,Urban,Semi-Furnished,21033963.0
1434,3,3,46,2,2,Suburban,Unfurnished,10303182.0
3838,1,2,21,1,0,Suburban,Furnished,23191381.0
1660,2,2,10,3,2,Suburban,Semi-Furnished,11312977.0
2407,3,4,30,2,0,Rural,Semi-Furnished,14439367.0
2322,3,3,46,1,2,Suburban,Unfurnished,14521552.0
3474,3,2,26,2,0,Urban,Unfurnished,22420005.0
2036,4,4,0,1,3,Urban,Semi-Furnished,16786679.0
1495,3,2,15,3,1,Urban,Semi-Furnished,11514330.0
575,5,4,46,1,0,Urban,Unfurnished,7694838.0
1772,3,4,25,2,1,Urban,Semi-Furnished,14906757.0
3392,2,3,47,2,0,Rural,Furnished,18645586.0
534,2,1,25,1,0,Suburban,Furnished,5315468.0
3636,2,3,0,2,2,Suburban,Unfurnished,22275056.0
2399,3,2,43,1,1,Urban,Semi-Furnished,15377759.0
990,2,1,38,2,1,Suburban,Furnished,8066498.0
1557,5,5,35,3,3,Rural,Unfurnished,11842647.0
2439,3,2,48,3,0,Rural,Unfurnished,13686058.0
1604,5,5,9,1,1,Suburban,Semi-Furnished,14477281.0
880,4,5,45,1,0,Rural,Furnished,6192610.0
2830,2,1,11,2,1,Suburban,Unfurnished,16824582.0
2852,2,1,48,3,1,Suburban,Furnished,16970953.0
916,4,5,9,3,0,Rural,Semi-Furnished,7993181.0
1484,2,2,27,1,0,Urban,Unfurnished,11399996.0
1353,2,2,39,1,3,Urban,Semi-Furnished,10579421.0
2807,5,5,3,1,0,Urban,Furnished,20626627.0
3056,3,3,3,1,3,Suburban,Furnished,20622240.0
3044,1,2,42,2,3,Suburban,Semi-Furnished,17998037.0
3785,3,3,3,3,1,Suburban,Unfurnished,24291277.0
3190,3,2,30,1,1,Urban,Unfurnished,20513199.0
1622,5,5,46,3,3,Urban,Furnished,14997202.0
877,4,5,30,2,3,Rural,Furnished,8504604.0
2651,1,1,24,2,0,Urban,Unfurnished,16373444.0
3706,1,1,20,3,3,Rural,Furnished,20619847.0
3913,4,5,31,1,3,Urban,Furnished,26554787.0
1305,1,1,28,3,0,Suburban,Semi-Furnished,8312813.0
1327,2,1,25,1,0,Suburban,Semi-Furnished,9988276.0
630,1,1,7,2,2,Rural,Furnished,6120528.0
994,1,1,33,3,0,Urban,Furnished,8846787.0
2441,5,5,36,2,2,Rural,Furnished,16648127.0
2413,1,2,35,1,0,Suburban,Semi-Furnished,13941029.0
1798,1,1,3,2,2,Suburban,Furnished,11711813.0
1584,5,5,35,2,0,Suburban,Furnished,12570479.0
3404,1,1,36,1,0,Urban,Semi-Furnished,20191780.0
2110,5,5,9,3,0,Suburban,Furnished,16707620.0
3328,1,1,42,1,0,Urban,Furnished,20194275.0
3871,1,1,26,2,2,Urban,Semi-Furnished,24164131.0
1609,1,1,23,2,0,Suburban,Furnished,9987292.0
1209,4,4,36,1,3,Suburban,Semi-Furnished,9688647.0
3835,4,4,25,3,2,Urban,Semi-Furnished,26662600.0
2721,3,2,27,2,1,Urban,Semi-Furnished,18923887.0
1518,2,1,15,1,3,Urban,Semi-Furnished,11835060.0
2676,1,1,46,2,2,Urban,Unfurnished,16230152.0
2302,3,4,48,2,2,Suburban,Furnished,15268500.0
3669,2,1,6,2,0,Urban,Furnished,23500902.0
1395,3,3,36,3,2,Rural,Furnished,10054878.0
3969,4,3,1,2,2,Urban,Unfurnished,28178295.0
3776,5,5,18,3,3,Urban,Unfurnished,26338030.0
1132,3,3,48,2,1,Rural,Unfurnished,7350219.0
1076,1,2,8,2,2,Urban,Semi-Furnished,8734666.0
2366,2,1,18,1,1,Urban,Semi-Furnished,15633770.0
657,5,4,10,2,0,Rural,Semi-Furnished,7786571.0
1545,3,3,36,1,0,Rural,Furnished,9985621.0
2022,4,4,23,3,3,Suburban,Semi-Furnished,12137020.0
3892,3,4,29,3,2,Urban,Semi-Furnished,25875216.0
3973,1,2,47,3,1,Suburban,Furnished,23967315.0
1030,5,5,26,3,2,Rural,Unfurnished,7528865.0
3620,4,4,36,1,0,Rural,Unfurnished,21607571.0
818,5,5,4,1,0,Urban,Furnished,9003231.0
3120,5,5,10,3,2,Urban,Unfurnished,23510599.0
3459,2,1,47,2,2,Urban,Furnished,21385746.0
3617,2,2,42,1,3,Urban,Unfurnished,20433420.0
1281,2,2,32,1,3,Suburban,Unfurnished,9293496.0
3627,5,4,18,3,1,Urban,Furnished,26145988.0
905,3,2,9,2,3,Urban,Semi-Furnished,10265721.0
2316,3,3,42,1,1,Urban,Furnished,16632579.0
2143,5,5,39,3,3,Suburban,Unfurnished,15390427.0
1605,4,5,12,1,0,Urban,Furnished,13053027.0
577,5,5,29,2,0,Urban,Furnished,9479705.0
3202,5,5,30,1,0,Urban,Furnished,23655228.0
1674,1,1,23,2,3,Rural,Furnished,11060507.0
2815,2,1,46,2,0,Urban,Furnished,16246487.0
1935,4,3,6,3,3,Suburban,Semi-Furnished,13991574.0
1807,5,5,12,2,2,Urban,Semi-Furnished,15484223.0
3602,1,1,4,1,0,Urban,Semi-Furnished,21155317.0
830,2,1,34,1,3,Urban,Furnished,8246933.0
3078,3,3,32,1,0,Urban,Furnished,20590991.0
3113,4,5,49,2,0,Urban,Unfurnished,19431423.0
1829,1,1,27,1,2,Suburban,Furnished,12279790.0
1418,4,3,7,2,1,Suburban,Furnished,12479373.0
518,2,1,22,3,1,Urban,Semi-Furnished,6199889.0
3778,2,3,4,3,0,Urban,Furnished,24774835.0
3817,3,4,33,2,2,Suburban,Semi-Furnished,22028539.0
1343,3,4,33,3,0,Urban,Unfurnished,11036016.0
611,4,5,42,3,0,Urban,Furnished,8502369.0
929,2,1,16,2,2,Urban,Unfurnished,8788923.0
736,5,4,15,3,1,Urban,Semi-Furnished,10327414.0
3408,1,1,3,1,2,Suburban,Semi-Furnished,20607569.0
3621,5,4,20,3,0,Rural,Semi-Furnished,21984159.0
1036,1,2,23,1,2,Rural,Semi-Furnished,6702536.0
3113,4,5,37,3,3,Rural,Furnished,20544022.0
1127,2,1,37,3,1,Urban,Furnished,9508551.0
1785,2,3,7,2,1,Urban,Unfurnished,14039316.0
2597,1,1,14,1,2,Urban,Furnished,17354080.0
3019,4,3,25,2,2,Urban,Unfurnished,20171069.0
3560,1,2,16,2,0,Urban,Semi-Furnished,22478016.0
656,4,5,1,3,2,Urban,Unfurnished,9567542.0
1187,4,4,42,3,0,Suburban,Semi-Furnished,9812703.0
1481,5,5,36,2,2,Urban,Semi-Furnished,13560979.0
1586,4,4,26,3,3,Urban,Semi-Furnished,13924446.0
3993,2,3,15,2,2,Suburban,Semi-Furnished,24008900.0
3220,4,4,42,2,3,Urban,Furnished,21888315.0
1621,5,5,1,3,1,Rural,Semi-Furnished,11802139.0
3901,2,1,22,3,3,Urban,Semi-Furnished,24883227.0
2247,1,1,40,2,3,Suburban,Furnished,14016483.0
2252,5,5,47,2,3,Urban,Unfurnished,17680169.0
2017,1,1,12,3,2,Suburban,Semi-Furnished,12876380.0
1003,3,2,32,3,2,Urban,Furnished,11352369.0
3770,2,3,9,2,2,Urban,Unfurnished,24023185.0
548,1,1,5,1,3,Suburban,Furnished,5452023.0
1109,4,4,17,1,3,Urban,Semi-Furnished,10916221.0
1303,1,1,44,1,1,Urban,Semi-Furnished,7921854.0
1477,4,3,34,2,0,Rural,Semi-Furnished,10723240.0
961,4,5,24,2,0,Urban,Unfurnished,11076947.0
562,1,1,14,3,0,Suburban,Unfurnished,5292922.0
2871,1,1,7,1,0,Suburban,Semi-Furnished,16436938.0
3892,4,5,13,3,0,Urban,Unfurnished,27191287.0
926,3,4,7,2,0,Suburban,Unfurnished,8283997.0
1537,1,1,9,1,3,Urban,Unfurnished,11529082.0
2272,5,5,34,2,0,Suburban,Semi-Furnished,16990481.0
3746,2,2,6,1,2,Urban,Furnished,24900437.0
2929,1,2,2,3,1,Urban,Furnished,21611572.0
3181,5,4,27,3,0,Urban,Semi-Furnished,22310306.0
2533,1,2,14,3,2,Rural,Semi-Furnished,14683678.0
1959,3,3,22,2,3,Suburban,Furnished,13958537.0
1199,5,5,6,2,3,Rural,Furnished,9901903.0
3525,3,3,10,1,3,Suburban,Unfurnished,21924983.0
3314,3,4,22,3,2,Suburban,Unfurnished,21844015.0
587,2,2,34,1,2,Suburban,Unfurnished,5501584.0
3003,1,1,20,1,0,Rural,Furnished,16459816.0
795,3,4,27,1,3,Suburban,Furnished,7582546.0
3086,5,5,26,2,2,Urban,Furnished,22746011.0
3390,1,1,13,1,1,Suburban,Unfurnished,20181970.0
958,5,5,13,1,1,Suburban,Semi-Furnished,10228103.0
2018,3,3,21,2,2,Urban,Unfurnished,15275315.0
933,3,3,1,3,0,Urban,Semi-Furnished,9698730.0
2485,1,2,34,2,3,Urban,Semi-Furnished,17159027.0
3746,4,5,30,3,1,Rural,Semi-Furnished,20396867.0
783,1,1,15,3,0,Urban,Unfurnished,7554592.0
1891,2,3,18,3,1,Rural,Semi-Furnished,13762425.0
3905,4,4,16,2,3,Urban,Semi-Furnished,25310139.0
1553,1,2,32,3,1,Suburban,Unfurnished,9746641.0
962,3,4,37,3,2,Urban,Semi-Furnished,9881862.0
2210,3,3,5,3,3,Rural,Unfurnished,14293192.0
2279,1,1,20,2,0,Suburban,Semi-Furnished,14436262.0
2820,2,2,0,1,3,Urban,Unfurnished,19734716.0
1598,2,3,22,2,1,Urban,Semi-Furnished,12726210.0
3844,4,4,12,3,2,Urban,Semi-Furnished,26706891.0
2323,5,4,16,3,0,Urban,Furnished,18421325.0
1502,5,5,22,2,0,Suburban,Semi-Furnished,14626305.0
3860,1,1,16,1,3,Rural,Furnished,21807943.0
3736,1,1,19,2,3,Suburban,Semi-Furnished,22118897.0
2247,1,1,38,3,3,Suburban,Unfurnished,12257072.0
587,3,2,40,2,2,Urban,Semi-Furnished,6671985.0
2589,1,2,0,2,1,Rural,Semi-Furnished,16145964.0
2443,2,1,18,2,0,Rural,Furnished,13248780.0
1018,5,5,42,1,1,Urban,Unfurnished,8713310.0
2718,5,5,26,1,2,Rural,Semi-Furnished,17666221.0
3442,5,5,10,3,1,Urban,Semi-Furnished,25567921.0
